,real,predict
0,一,川
1,丁,棘
2,丈,雨
3,三,日
4,不,十
5,与,旦
6,丐,川
7,丑,厂
8,且,十
9,世,棘
10,丘,乡
11,丙,内
12,丢,怯
13,两,恶
14,个,从
15,串,身
16,临,监
17,丸,女
18,丹,丑
19,主,玉
20,丽,误
21,乃,川
22,久,皮
23,之,厂
24,乍,口
25,乎,川
26,乏,少
27,乐,宋
28,乒,袄
29,乓,尤
30,乔,太
31,乖,魏
32,乘,指
33,九,十
34,也,口
35,书,今
36,乱,刮
37,了,川
38,事,厂
39,二,乙
40,于,厂
41,亏,万
42,五,丑
43,井,乡
44,些,堤
45,亡,玄
46,交,雨
47,亥,乙
48,产,仿
49,亩,累
50,享,哀
51,亭,豪
52,亮,豪
53,亲,非
54,们,闯
55,仰,伯
56,企,疟
57,伏,伪
58,伐,使
59,众,坝
60,会,坛
61,伞,荃
62,伪,伶
63,伶,阁
64,住,停
65,佩,锦
66,佳,挂
67,例,咧
68,侨,骄
69,俩,频
70,俯,府
71,倘,涡
72,候,喉
73,倚,喉
74,倡,借
75,倾,顾
76,假,殿
77,偷,喻
78,傍,榜
79,僵,项
80,僻,譬
81,儒,渣
82,儿,身
83,元,远
84,兄,加
85,充,肖
86,先,元
87,光,天
88,党,堂
89,兢,壁
90,入,气
91,六,厂
92,兰,芯
93,共,其
94,兴,梯
95,具,只
96,典,身
97,养,侨
98,兼,入
99,内,从
100,册,百
101,再,灭
102,军,厍
103,冷,蛉
104,凉,鲸
105,凛,稿
106,凝,预
107,几,川
108,凡,叉
109,凳,瞪
110,凶,乡
111,凸,十
112,凹,之
113,出,罗
114,击,专
115,刊,入
116,则,侧
117,刹,椒
118,剩,创
119,劈,譬
120,力,巾
121,办,压
122,劣,省
123,动,劫
124,励,助
125,势,拐
126,勇,穷
127,勿,川
128,包,雹
129,北,化
130,匙,提
131,匠,斧
132,匪,非
133,匹,共
134,医,瓷
135,十,川
136,千,乙
137,午,古
138,华,支
139,协,办
140,南,日
141,博,据
142,占,君
143,卢,屋
144,却,怯
145,卷,帝
146,卿,柳
147,厂,女
148,历,虏
149,厌,厅
150,厘,童
151,厚,量
152,厢,岸
153,厨,鳄
154,县,宜
155,又,聂
156,及,乡
157,友,灰
158,发,废
159,叔,戚
160,变,返
161,叙,叉
162,叟,节
163,叠,废
164,口,乙
165,召,名
166,右,若
167,司,咸
168,名,吕
169,后,吞
170,吏,川
171,向,品
172,吕,回
173,吞,乔
174,否,吕
175,启,吕
176,吴,吞
177,吵,跃
178,呆,杏
179,呈,豆
180,告,先
181,呔,唤
182,周,品
183,命,含
184,咸,词
185,咽,智
186,哈,洽
187,响,品
188,哗,隔
189,哟,吟
190,哥,呵
191,哪,郭
192,唇,震
193,售,吕
194,唱,晶
195,商,稿
196,啊,廓
197,啥,浴
198,善,单
199,喊,减
200,喻,榆
201,嗡,凇
202,嘉,贺
203,嘲,葫
204,嘴,鳄
205,器,味
206,噪,品
207,嚣,颤
208,嚷,蹄
209,嚼,踩
210,囊,蹄
211,囚,围
212,四,困
213,回,吕
214,团,困
215,园,罗
216,困,身
217,围,因
218,固,克
219,国,肖
220,圃,困
221,圆,嚣
222,圈,倦
223,土,川
224,场,烫
225,坐,步
226,坚,肾
227,坦,堵
228,垂,川
229,垃,坛
230,型,剿
231,垒,去
232,埝,塔
233,增,僧
234,墩,熟
235,壁,譬
236,士,棘
237,壮,旧
238,声,返
239,壳,索
240,夏,兽
241,夕,棘
242,多,夕
243,够,狗
244,大,入
245,天,灭
246,夫,女
247,央,厂
248,夷,棘
249,夸,肖
250,夺,庆
251,奈,吞
252,奔,恋
253,奖,浆
254,套,矢
255,女,厂
256,妥,要
257,妨,坊
258,妻,乙
259,委,耍
260,姜,蒂
261,娃,挂
262,娇,侨
263,娜,阁
264,婴,惯
265,子,女
266,字,棘
267,季,孝
268,孵,铃
269,宁,当
270,宇,迂
271,安,它
272,宋,困
273,宣,晃
274,宦,家
275,宪,完
276,宫,害
277,宰,迈
278,家,迁
279,容,蓉
280,宾,突
281,密,蜜
282,寓,宜
283,寝,寂
284,寞,慕
285,察,迈
286,寨,迈
287,寸,乡
288,导,过
289,寿,迈
290,封,灶
291,小,十
292,尔,笋
293,尖,少
294,尘,少
295,尚,员
296,就,鲸
297,屁,昵
298,层,尝
299,居,苦
300,届,层
301,屑,帝
302,属,历
303,屠,寞
304,履,腹
305,屯,口
306,岂,岁
307,岗,岁
308,岛,身
309,岩,泵
310,岳,崇
311,岸,后
312,岽,瓷
313,崭,渐
314,川,女
315,州,皮
316,巡,口
317,工,一
318,左,灰
319,巨,贝
320,差,黍
321,巯,蔬
322,已,女
323,巴,一
324,巾,口
325,币,少
326,希,吊
327,帖,站
328,帝,豪
329,席,度
330,幅,福
331,干,川
332,平,竿
333,年,一
334,并,屏
335,幸,凿
336,幽,滋
337,广,厌
338,庄,笋
339,庆,摩
340,庇,庆
341,床,宋
342,庙,宙
343,庞,唐
344,度,席
345,座,遮
346,康,虚
347,弃,怠
348,弄,芯
349,弓,日
350,弯,恋
351,弱,冯
352,彬,杉
353,影,椒
354,径,吟
355,徒,待
356,微,徽
357,心,丑
358,必,皮
359,忍,忿
360,志,芯
361,忧,拢
362,忽,芯
363,怎,压
364,怜,阁
365,怠,苔
366,怪,怯
367,恋,蛮
368,恐,筑
369,恒,胆
370,恕,恳
371,息,田
372,恳,芯
373,悉,芯
374,患,忠
375,您,将
376,悲,芯
377,惠,芯
378,惰,控
379,愈,输
380,愉,喻
381,愚,笋
382,慌,谎
383,慢,聂
384,慧,想
385,懋,想
386,戏,找
387,我,女
388,战,贴
389,截,裁
390,户,勺
391,房,芳
392,扁,篇
393,手,厂
394,扬,烫
395,扰,拢
396,批,扫
397,承,雨
398,抚,担
399,抛,扒
400,抱,炮
401,拆,援
402,拒,扛
403,拜,一
404,拢,稽
405,拣,陈
406,拴,栓
407,拾,恰
408,拿,盒
409,挂,灶
410,挫,挂
411,捆,湘
412,掉,悼
413,掌,堂
414,排,找
415,掘,据
416,揭,提
417,搁,阁
418,搅,觉
419,搞,稿
420,搬,拔
421,摇,掏
422,摔,停
423,摘,滴
424,撕,掀
425,撤,撒
426,擅,隔
427,操,捐
428,政,救
429,效,郊
430,敌,敦
431,敞,做
432,敲,鲸
433,整,惩
434,斜,徐
435,斤,女
436,方,芳
437,族,簇
438,旗,游
439,旨,昌
440,昂,易
441,昆,踢
442,昌,者
443,星,昌
444,是,晋
445,晋,普
446,晨,震
447,晶,暗
448,暇,霞
449,暑,薯
450,暮,草
451,曹,口
452,曼,最
453,曾,笼
454,替,易
455,服,朋
456,望,堕
457,朦,萌
458,木,本
459,未,皮
460,末,川
461,本,皮
462,杂,杰
463,李,芯
464,杏,逗
465,杜,桂
466,条,困
467,杨,烫
468,杭,炕
469,杰,床
470,某,困
471,柔,剃
472,柜,杠
473,查,晃
474,柴,踩
475,标,棕
476,栋,拣
477,栏,烂
478,栗,黍
479,栽,梦
480,案,窑
481,桌,占
482,桐,蜗
483,桑,最
484,档,模
485,桥,侨
486,桨,将
487,梢,椭
488,梨,犁
489,梳,硫
490,棘,刺
491,棚,梢
492,棠,常
493,森,林
494,椒,锻
495,椰,椭
496,楚,起
497,楞,榜
498,概,相
499,榜,傍
500,槽,椿
501,横,棱
502,樱,桢
503,欣,坎
504,欧,饮
505,歌,塔
506,步,正
507,歹,口
508,殊,株
509,母,乙
510,毒,青
511,比,昆
512,毙,论
513,毛,巾
514,氏,女
515,民,身
